temperature,humidite_air,humidite_sol,vitesse_vent,label
26.24,70.54,64.83,54.81,4
43.52,81.7,17.24,31.52,2
36.96,32.54,87.24,43.49,4
32.96,66.24,61.31,26.16,0
19.68,61.46,15.72,37.8,1
19.68,84.95,96.23,20.43,0
16.74,91.55,51.84,18.07,0
40.99,11.09,7.29,34.69,2
33.03,70.66,62.68,29.89,0
36.24,14.67,25.32,34.77,1
15.62,59.4,80.37,17.2,0
44.1,35.89,81.78,22.02,0
39.97,37.61,97.89,5.03,0
21.37,41.77,50.19,3.14,0
20.45,65.92,45.5,15.21,0
20.5,40.06,75.35,4.45,0
24.13,75.94,13.25,6.23,1
30.74,46.41,54.69,48.78,4
27.96,16.15,54.62,2.33,0
23.74,80.54,8.95,39.54,1
33.36,35.72,41.8,16.35,0
19.18,48.95,85.33,52.29,4
23.76,71.69,85.62,29.1,0
25.99,39.92,9.92,18.33,1
28.68,15.09,9.07,31.06,1
38.56,43.65,26.27,22.92,2
20.99,95.0,87.48,33.86,0
30.43,67.76,12.89,6.87,1
32.77,70.43,72.0,59.82,4
16.39,66.91,10.12,25.53,1
33.23,27.91,62.31,20.89,0
20.12,47.65,35.61,42.61,4
16.95,77.58,78.89,21.83,0
43.47,19.12,23.37,50.0,2
43.97,35.01,63.92,27.26,0
39.25,34.87,23.57,43.17,2
24.14,48.88,71.37,6.45,0
17.93,98.23,87.37,50.77,4
35.53,16.08,12.68,44.14,4
28.2,56.68,86.66,12.7,0
18.66,26.14,59.36,8.72,0
29.86,97.36,12.71,18.98,3
16.03,20.2,42.75,58.56,4
42.28,46.32,16.09,15.41,2
22.76,76.41,70.03,27.37,0
34.88,73.41,75.89,1.8,0
24.35,48.05,10.58,23.83,1
30.6,41.19,50.61,34.28,0
31.4,45.79,81.46,57.19,4
20.55,33.78,93.62,31.0,0
44.09,28.48,51.35,49.15,4
38.25,53.47,95.03,32.83,0
43.18,34.17,53.57,2.45,0
41.84,35.87,39.42,18.9,0
32.94,69.11,84.82,34.53,0
42.66,97.17,49.3,57.04,4
17.65,64.33,47.19,51.55,4
20.88,16.93,49.03,13.7,0
16.36,16.8,84.68,13.21,0
24.76,95.63,83.19,12.07,0
26.66,36.76,40.35,55.35,4
23.14,18.29,33.33,51.16,4
39.86,63.91,49.19,46.49,4
25.7,66.13,57.28,23.56,0
23.43,68.37,23.83,30.26,1
31.28,34.07,79.4,27.86,0
19.23,11.36,48.65,15.2,0
39.07,96.85,33.4,30.3,3
17.24,32.58,10.68,1.83,1
44.61,70.84,23.88,7.91,2
38.17,73.6,94.93,53.2,4
20.96,64.9,30.51,45.1,4
15.17,38.16,16.89,25.37,1
39.46,34.4,46.07,31.03,0
36.21,63.79,30.71,22.2,1
36.87,87.95,3.52,44.45,4
38.14,95.21,32.31,47.05,4
17.22,19.53,54.41,45.8,4
25.75,23.93,55.17,43.36,3
18.48,95.03,35.66,12.27,0
40.89,76.29,44.73,20.28,3
33.7,89.47,96.55,28.19,3
24.93,28.24,37.73,19.85,0
16.91,62.88,25.82,45.3,4
24.33,73.1,24.35,19.76,1
24.76,71.21,45.78,8.29,0
36.89,46.73,75.95,23.94,0
34.13,11.39,20.6,58.79,4
41.62,62.46,70.93,13.55,0
29.17,32.78,2.11,36.73,1
18.59,50.52,41.89,25.98,0
36.4,96.18,77.59,4.26,3
37.82,45.91,33.87,29.27,1
31.84,85.58,56.37,42.13,4
38.13,26.97,20.5,30.79,2
29.81,70.52,74.2,52.33,4
30.68,97.93,5.23,17.34,3
27.83,19.17,85.25,5.17,0
15.76,10.75,19.82,56.19,4
18.24,49.02,87.44,22.69,0
15.94,18.34,35.25,34.58,0
34.09,77.35,72.27,47.52,4
24.43,92.31,31.92,19.46,1
30.26,49.06,90.59,42.97,4
42.23,33.28,12.66,8.13,2
22.48,49.1,17.85,17.48,1
27.31,75.11,49.3,8.68,0
37.67,10.81,8.19,48.67,4
21.86,63.05,19.6,13.36,1
17.31,65.2,94.38,43.04,4
23.69,67.39,97.65,56.6,4
19.84,31.78,37.63,31.67,0
42.89,74.26,92.33,32.4,0
39.24,18.23,54.48,27.66,0
34.0,27.93,26.97,19.55,1
41.14,88.97,70.24,28.54,3
39.11,76.49,65.89,36.17,3
20.6,11.24,98.91,59.16,4
41.78,32.35,26.5,56.27,2
31.18,29.3,67.21,51.73,4
39.22,34.37,5.2,53.35,2
41.88,32.28,11.36,28.07,2
24.54,15.63,0.39,39.45,1
18.3,51.3,99.95,53.7,4
21.84,75.95,80.23,23.58,0
27.81,64.61,78.67,57.71,4
39.54,70.56,50.97,24.95,0
40.82,17.3,30.01,36.06,1
15.21,95.63,15.13,42.59,4
30.32,85.46,28.47,57.04,4
27.52,82.46,37.6,14.68,0
21.66,84.07,75.63,44.77,4
18.6,93.94,53.97,31.25,0
25.13,58.98,7.75,16.11,1
43.29,28.03,1.8,46.6,2
24.7,65.51,10.23,33.13,1
30.56,76.86,41.05,39.66,3
36.09,76.41,93.32,19.37,3
25.91,56.93,63.74,28.88,0
44.15,16.16,80.18,37.04,0
43.87,43.4,46.64,24.29,0
22.55,92.87,36.17,11.9,0
29.92,62.6,10.84,57.7,4
24.03,58.45,87.59,30.69,0
23.55,34.2,78.32,44.04,4
16.11,43.16,16.81,24.66,1
33.29,90.58,51.23,21.31,4
30.08,69.98,48.74,24.43,4
16.54,80.86,62.51,24.55,0
23.36,50.89,94.62,32.65,0
42.25,66.72,57.98,32.61,0
22.19,32.35,54.02,29.83,0
19.35,73.49,5.03,8.09,1
29.68,48.48,6.29,29.76,1
44.57,49.83,18.73,10.15,2
22.26,68.44,3.25,7.57,1
35.16,94.27,74.34,55.96,3
37.85,15.76,72.33,36.3,0
22.13,84.23,13.61,39.57,1
36.85,36.31,83.61,24.11,0
26.03,49.95,15.48,54.54,4
33.97,11.97,30.12,38.28,1
34.01,37.09,24.9,46.15,4
31.07,55.24,37.23,22.11,0
17.71,15.06,25.47,57.6,4
40.06,54.2,48.9,49.23,4
24.62,93.44,40.74,51.24,4
20.6,19.49,98.66,10.33,0
16.22,78.8,5.59,16.26,1
32.73,46.87,14.22,17.14,1
35.33,68.97,5.28,16.25,1
15.5,33.42,62.58,51.32,4
30.36,24.35,5.45,1.91,3
21.79,24.44,83.64,4.57,0
34.36,16.34,51.19,16.43,0
20.23,26.71,52.7,11.99,0
35.73,69.78,56.16,13.91,2
26.6,89.35,17.08,47.88,4
43.1,83.27,19.77,33.79,2
19.13,71.66,31.88,0.35,1
25.23,19.94,59.35,25.76,0
18.4,36.03,21.01,24.47,1
42.74,37.88,11.63,6.84,2
41.32,32.5,97.01,40.57,0
22.74,56.35,2.2,42.13,4
34.8,58.2,80.27,43.25,4
39.52,42.12,78.8,43.71,4
31.66,41.84,29.72,0.0,1
30.89,84.57,13.56,57.24,4
22.26,81.04,14.56,48.85,4
17.79,37.7,69.74,54.24,4
41.92,92.24,64.28,0.94,3
42.01,95.75,78.27,56.03,4
33.99,39.41,93.75,48.59,4
25.17,41.9,69.19,50.23,4
25.48,55.51,15.59,5.6,1
36.78,94.7,24.34,44.33,4
41.91,88.87,84.22,57.6,4
41.61,19.23,20.93,40.71,2
38.4,45.35,7.25,34.23,2
34.26,59.8,70.33,56.74,4
17.52,55.28,40.25,26.58,0
19.85,27.45,92.0,35.96,0
41.96,87.29,65.03,28.58,3
33.19,70.92,9.04,55.97,4
15.28,85.41,94.79,4.57,2
18.04,87.29,25.86,30.07,1
34.91,77.35,33.72,41.22,3
15.15,49.53,40.23,47.51,4
19.82,64.95,5.12,34.98,1
31.46,24.43,49.65,54.54,4
35.76,70.63,12.33,56.52,4
34.56,26.13,40.1,3.86,0
21.73,72.46,35.07,24.14,0
36.37,30.66,77.28,1.41,0
22.12,20.58,80.32,19.76,0
24.76,24.88,15.34,32.21,1
37.39,10.18,36.66,54.65,4
34.49,74.69,37.34,50.79,4
40.48,75.92,15.14,7.65,2
34.73,56.34,79.85,5.58,0
32.05,24.52,70.72,35.36,0
17.81,17.52,19.04,31.93,1
26.03,11.72,36.67,15.98,0
22.96,24.92,10.58,53.97,4
22.32,90.18,62.82,55.64,4
44.19,31.74,12.14,24.16,2
26.79,41.88,98.59,53.42,4
41.76,19.48,78.07,23.04,0
33.93,30.01,39.02,44.21,4
38.84,56.73,57.86,28.56,0
30.08,64.7,91.13,7.35,0
32.31,32.08,55.41,55.68,4
29.78,15.2,17.45,27.25,1
20.86,45.19,37.87,44.07,4
36.67,31.08,84.31,22.03,0
23.42,29.76,64.42,1.13,0
15.73,96.39,65.07,6.03,0
34.36,65.47,86.68,29.77,0
20.31,60.12,89.4,41.4,0
43.21,47.42,91.98,20.08,0
43.62,48.6,9.48,41.73,2
42.45,58.68,54.41,41.92,0
26.1,72.68,74.05,42.24,4
15.46,73.19,75.69,29.55,0
42.85,25.45,60.67,54.89,4
27.85,55.01,16.68,29.35,2
44.0,47.08,79.74,27.02,0
43.91,88.35,72.01,11.96,3
40.59,66.83,8.61,18.46,2
23.83,57.93,46.38,2.54,0
26.55,20.39,17.4,38.01,1
40.53,64.51,33.75,14.91,1
24.51,20.55,1.81,18.25,1
20.08,40.35,40.03,46.25,4
31.7,22.86,54.99,19.63,0
43.08,72.29,61.96,14.53,0
35.88,28.56,66.35,10.14,0
32.1,45.27,83.63,46.49,4
17.92,90.61,21.55,7.78,1
33.45,28.39,12.05,27.23,1
44.7,55.7,85.15,30.42,0
19.2,47.73,15.66,41.24,1
30.55,11.63,97.48,38.0,0
41.32,81.35,84.25,48.64,4
37.22,16.21,50.09,2.69,0
35.91,52.68,98.14,17.79,2
36.07,60.46,9.74,16.81,1
25.78,66.56,30.31,8.76,1
23.81,71.98,63.82,17.35,0
39.28,32.79,35.0,18.59,0
39.3,10.9,92.84,31.31,0
41.01,75.11,6.56,39.82,2
42.4,58.21,54.94,22.87,0
30.34,85.25,59.09,43.17,4
30.05,83.92,65.27,20.17,3
38.95,85.9,25.57,17.42,2
34.5,53.66,36.46,32.47,0
36.06,40.03,84.37,1.42,0
38.87,81.24,19.49,4.79,2
41.7,50.62,82.69,25.08,0
25.14,26.51,56.27,56.57,4
26.27,86.95,76.22,43.29,4
17.82,89.43,71.36,5.29,0
32.35,51.97,20.75,50.78,4
16.08,16.81,56.88,43.94,4
28.97,44.9,86.77,36.66,0
31.28,82.32,43.21,49.22,4
23.6,91.16,96.66,24.25,0
32.72,28.31,45.22,13.29,0
15.92,16.03,14.28,30.72,1
16.12,88.96,38.94,32.93,0
39.68,45.05,95.17,32.3,0
25.81,58.76,31.97,33.9,1
18.81,97.13,86.81,56.92,4
30.67,15.99,88.13,54.13,4
38.1,68.35,35.02,52.54,4
21.47,16.67,8.33,48.09,4
33.69,43.79,72.46,56.61,4
17.56,82.34,31.15,5.91,1
16.55,49.01,78.29,15.91,0
30.94,99.75,44.27,29.7,3
31.22,60.32,48.53,50.79,4
34.12,38.9,77.79,30.31,0
36.78,29.81,38.24,44.88,4
44.28,41.55,44.31,8.34,0
30.49,43.53,37.62,15.14,0
24.69,16.18,36.73,43.91,4
38.86,43.26,52.59,9.88,0
23.12,51.78,80.88,21.08,0
28.17,75.05,36.18,15.89,3
17.35,69.11,52.43,20.99,0
15.76,73.79,67.07,42.5,4
43.88,10.75,26.94,22.07,2
40.08,29.59,27.75,33.32,2
35.88,69.55,93.34,6.0,0
27.27,53.56,72.35,48.3,4
20.2,10.48,57.72,22.19,0
19.69,82.4,64.77,38.91,0
22.51,79.55,2.93,43.52,4
31.48,59.36,61.81,12.58,0
36.44,15.98,50.95,53.08,4
34.81,78.99,54.57,36.97,3
23.4,62.53,35.94,25.72,0
43.65,80.38,8.15,10.94,2
37.14,77.66,19.33,56.54,4
31.63,82.27,95.07,45.3,4
33.35,56.62,40.87,12.48,0
27.59,22.63,46.67,20.26,0
22.43,70.4,5.27,48.58,4
25.68,65.84,3.76,41.74,1
37.74,76.8,71.72,45.95,4
15.43,25.29,53.81,26.47,0
18.48,27.55,50.87,42.99,4
16.38,90.14,24.31,23.19,1
16.22,77.5,74.48,12.68,0
40.66,91.74,16.82,37.96,2
36.11,78.28,18.99,58.56,4
29.23,63.74,46.07,18.64,0
17.94,68.87,28.63,27.66,1
29.75,90.02,24.75,40.44,3
29.2,62.09,64.52,32.49,0
20.2,66.92,65.1,50.61,4
28.02,24.08,82.45,45.7,4
26.96,52.65,41.77,3.5,0
33.48,74.48,7.31,59.91,4
34.05,34.38,27.37,45.14,4
16.36,28.2,98.0,51.83,4
26.24,38.24,59.63,39.07,0
33.78,31.74,70.97,51.38,4
30.09,29.34,0.74,6.74,1
40.69,48.24,51.82,20.86,0
34.76,91.71,3.75,52.59,4
19.89,55.64,56.92,12.1,0
17.12,26.91,92.08,4.69,0
34.27,16.93,96.84,47.29,4
15.8,72.65,54.06,50.13,4
32.57,44.45,45.82,9.76,0
43.21,83.96,94.5,51.26,4
32.26,69.36,67.36,41.21,0
26.65,81.66,6.49,31.2,1
34.3,34.48,46.57,49.82,4
28.75,72.31,24.02,25.15,1
31.37,33.77,46.98,11.64,0
43.24,94.52,45.55,17.09,3
26.58,67.27,58.21,30.31,0
43.84,39.21,35.68,31.88,0
42.16,34.26,16.43,48.33,2
20.87,27.18,50.37,47.48,4
17.08,72.52,83.02,34.88,0
18.02,29.68,66.4,46.85,4
15.55,63.58,33.84,11.51,1
17.83,33.82,93.55,3.0,0
35.49,69.58,91.22,52.42,4
17.14,83.34,20.93,4.53,1
24.57,80.02,3.94,14.8,1
40.35,78.48,74.13,41.72,3
15.7,26.9,82.76,24.57,0
39.43,17.95,96.79,52.58,4
23.46,72.91,88.98,17.88,0
18.54,43.15,60.05,0.71,0
35.9,48.91,53.01,18.04,0
33.87,12.8,2.78,34.68,1
41.32,33.36,24.67,22.56,2
37.05,13.03,45.96,32.09,0
39.1,89.13,62.85,52.6,4
23.46,31.91,55.73,54.75,4
20.32,60.16,74.26,15.96,0
37.52,13.51,27.98,27.73,1
39.21,70.02,56.5,32.95,0
44.72,39.07,8.81,56.95,2
27.38,90.81,41.37,59.92,4
26.16,89.93,75.02,14.12,0
38.29,39.28,69.34,43.62,4
25.22,91.09,99.06,22.68,0
42.92,99.65,27.79,0.49,2
40.75,84.29,49.82,0.56,3
27.87,86.04,32.95,27.63,1
37.53,32.41,44.06,29.3,0
37.64,61.9,85.7,1.35,0
18.09,16.05,68.42,41.22,0
42.08,18.54,88.24,17.64,0
30.16,99.9,20.35,33.59,3
39.79,39.4,87.34,18.06,0
24.6,77.34,5.98,10.03,1
41.87,82.6,88.86,24.43,3
26.68,87.22,32.91,13.94,4
15.33,99.79,31.46,32.09,1
42.16,31.73,51.21,11.93,0
17.74,13.63,94.07,30.5,0
24.58,47.01,4.78,9.44,1
43.5,21.71,35.22,40.26,0
43.52,12.02,85.66,45.24,4
32.2,42.44,39.61,6.62,0
33.96,80.54,19.92,28.07,3
28.45,60.96,42.48,4.25,0
